wss,dist_border_1,dist_border_2,dist_border_3,temperature,rainfall,hhi,n_sub,dist_mag_km,treated_1,cons_po,users_fix,cons_fix,cons_pf,cons_phcut1,cons_phcut5,cons_phcut10,cons_ph,year_start,type_org,loc_org,typeorg1,typeorg2,typeorg3,typeorg4,typeorg5,bill_ph,pobl_urb,pobl_tot,indrural,areaoficialkm2,altura,dismdo,nbi,IPM,TMI,tacued,taseo,talcan,y_corr_usd
1,43.045509,43.045509,356.53262,17.6875,247.93625,.66430378,.91946882,83.423485,1,28.441555,10885.875,306342.81,28.441555,28.441555,28.441555,28.441555,28.441555,16,1,1,1,0,0,0,0,.29139066,45573.75,55368.375,.17693515,480,1920,34.119232,12.499472,42.410931,9.6563215,73.952499,73.952499,73.952499,3.2992458
3,32.865955,32.865955,171.93388,17.866667,42.670666,.50311488,1,150.37601,1,27.405909,1707.7333,46849.867,27.405909,27.405909,27.405909,27.405909,27.405909,25,1,1,1,0,0,0,0,.14905606,5290.3999,7433.5332,.28809002,111,1950,104.91678,40.111248,48.233791,14.565692,39.912666,28.892666,28.872667,.75868767
4,24.647881,24.647881,279.16122,18.357143,343.31427,.60705209,1,97.657562,0,18.34214,689.28571,12640.643,18.34214,18.34214,18.34214,18.34214,18.34214,18,2,1,0,1,0,0,0,.098227784,2010.0714,6314.6431,.68159747,84,2350,42.719296,33.974274,62.247799,15.521106,37.205715,21.991428,22.357143,.7228511
8,119.28281,4.7688231,4.7688231,28.1875,129.43875,.77195311,.76774311,4.1434903,1,31.352409,243400.69,7630772.5,31.352409,31.352409,31.352409,31.352409,31.352409,22,4,1,0,0,0,1,0,.50851756,1209305.5,1213518.3,.0034715361,166,30,0,17.718191,37.200069,12.999275,78.908752,78.702499,75.296249,252.47305
10,106.73782,15.232222,15.232222,28.1875,126.37375,.5290398,.90339351,15.034963,1,22.329655,7073.125,158088.25,22.329655,22.329655,22.329655,22.329655,22.329655,12,4,1,0,0,0,1,0,.50107342,37798.375,41708.125,.093752109,98,87,13.787676,39.193043,78.304749,19.902651,50.240002,49.634998,31.876249,4.4898925
11,91.092087,32.431702,32.431702,28.5,155.0275,.66925526,.88876516,32.523666,1,26.487453,3409.125,90654.375,26.487453,26.487453,26.487453,26.487453,26.487453,6,4,1,0,0,0,1,0,.57062536,11160.625,16609.25,.32808164,176,49,32.703518,30.953009,68.767662,18.467421,23.5,14.99625,0,.82511973
16,111.76491,14.05776,14.05776,28.533333,99.345718,.77837753,.75462443,14.529316,1,36.112312,9310.5332,336474,36.112312,36.112312,36.112312,36.112312,36.112312,17,4,1,0,0,0,1,0,.50019562,22334.334,27203.133,.1789636,73,12,5.7517738,24.740147,42.337929,13.968201,80.206665,79.384003,59.675999,9.7366657
20,115.29565,4.2837005,4.2837005,28.1875,126.37375,.55723369,1,3.9107409,1,23.914682,108339.5,2592503.5,23.914682,23.914682,23.914682,23.914682,23.914682,12,4,1,0,0,0,1,0,.50244778,600529.5,601132.5,.001003921,67,7,13.967104,24.068085,45.41386,13.467372,97.447502,53.422501,70.665001,19.750843
22,87.250847,27.353853,27.353853,28.5,103.11858,.54686326,1,27.048485,1,20.454802,1437.9375,29449.938,20.454802,20.454802,20.454802,20.454802,20.454802,6,4,1,0,0,0,1,0,.57235771,8349.125,9344.125,.10648141,103,123,32.72715,43.279793,78.340279,16.315372,52.001251,50.296249,0,.49865341
23,7.8132095,7.8132095,329.64722,18.181818,349.69818,.63843483,1,125.06723,0,18.405458,819.18182,15094.818,18.405458,18.405458,18.405458,18.405458,18.405458,19,3,0,0,0,1,0,0,.19560182,7184.5454,13842.363,.48096341,227,1805,80.22525,24.280588,57.018219,13.11412,51.249092,51.249092,51.249092,.83962423
24,31.597595,31.597595,264.54468,15.1875,275.36252,.47681415,.99647295,80.226471,0,22.890684,3465.5625,79296.688,22.890684,22.890684,22.890684,22.890684,22.890684,13,4,1,0,0,0,1,0,.27908459,10623.25,19024.625,.44161564,200,2473,49.469429,18.398497,48.571602,12.53212,90.652496,55.276249,54.34,1.6824615
